X1,X3,X7,X8,X9,X10,X11,X15,X17,X18,X19,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X44,X45,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X71,X72,X73,X75,X76,X78,X80,X82,X84,X85,X87,X88,X90,X91,Region,disciplines_recoded_wos
85,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,No,Agree,Agree,Neither important nor unimportant,Somewhat important,Somewhat important,Very important,Neither important nor unimportant,Neither important nor unimportant,Somewhat unimportant,Somewhat important,Very important,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Agree,Completely agree,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Agree,Completely agree,50,20,Very rarely,10,3,200,0,Very unimportant,Neither important nor unimportant,Important,Male,Professor,1995,Both research and teaching intensive,Medicine,NA,Europe & Central Asia,Life Sciences & Biomedicine
86,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Yes,Completely agree,Agree,Very important,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Very important,Somewhat unimportant,Somewhat important,Somewhat unimportant,Somewhat unimportant,Somewhat unimportant,Somewhat unimportant,Somewhat unimportant,Very unimportant,Neither important nor unimportant,Very unimportant,Somewhat important,Very important,Neither important nor unimportant,Somewhat important,I don't know,I don't know,Somewhat unimportant,Somewhat important,Somewhat unimportant,Very unimportant,Very important,Very important,Very important,Somewhat unimportant,Somewhat unimportant,Neither important nor unimportant,Not applicable,Somewhat important,Very important,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat unimportant,Somewhat important,Very important,Completely disagree,Neither agree nor disagree,1,1,Very often,12,3,3,3,Important,Important,Neither important nor unimportant,Male,Lecturer / Assistant Professor / Research Fellow,2006,Both research and teaching intensive,Psychology,NA,Europe & Central Asia,Social Sciences
88,8,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,NA,Yes,Neither agree nor disagree,Agree,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat unimportant,Very unimportant,Very unimportant,Very unimportant,Somewhat unimportant,Very important,Very unimportant,Very unimportant,Very unimportant,Very unimportant,Very important,Very important,Very important,Very important,Very important,Very important,Completely agree,Completely agree,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat unimportant,Very important,Very important,Somewhat important,Neither important nor unimportant,Somewhat important,Completely disagree,Agree,21,19,Very often,3,2,4,4,Important,Very important,Unimportant,Male,Professor,1992,Both research and teaching intensive,Health,NA,East Asia & Pacific,Life Sciences & Biomedicine
89,8,Yes,Yes,Yes,Yes,Yes,No,I don't know,NA,Yes,Completely agree,Completely agree,Somewhat unimportant,Somewhat unimportant,Very important,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,I don't know,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Very important,Very important,Somewhat important,Very important,Not applicable,I don't know,Very unimportant,Somewhat important,Very important,Somewhat unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,I don't know,Very important,Somewhat important,Somewhat important,Very important,Not applicable,Completely agree,15,15,Very rarely,1,1,25,0,Unimportant,Very unimportant,Very unimportant,Male,Senior Lecturer / Associate Professor  / Senior Researcher,2003,Teaching intensive,Education,NA,Europe & Central Asia,Social Sciences
92,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Yes,Agree,Completely agree,Somewhat important,Somewhat important,Somewhat unimportant,Neither important nor unimportant,Very unimportant,Very unimportant,Very unimportant,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Somewhat unimportant,Somewhat unimportant,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Neither agree nor disagree,Neither agree nor disagree,Neither important nor unimportant,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat unimportant,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Disagree,Completely agree,8,8,Neither often nor rarely,4,4,20,0,Neither important nor unimportant,Very important,Important,Male,Senior Lecturer / Associate Professor  / Senior Researcher,1998,Both research and teaching intensive,Engineering,NA,Europe & Central Asia,Technology
93,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,No,Disagree,Agree,Somewhat important,Very important,Very important,Very important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,Agree,Completely agree,Somewhat important,Somewhat important,Somewhat important,Very unimportant,Very important,Very important,Very important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Neither important nor unimportant,Very important,Agree,Completely agree,20,5,Very rarely,20,15,120,10,Important,Very unimportant,Neither important nor unimportant,Male,Professor,1984,Research intensive,Biology,NA,Europe & Central Asia,Life Sciences & Biomedicine
94,8,Yes,Yes,Yes,Yes,Yes,No,I don't know,NA,Yes,Agree,Agree,Very important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Very important,Very important,Very important,Somewhat unimportant,Very important,Very important,Somewhat important,Very important,I don't know,I don't know,Very important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat unimportant,Somewhat unimportant,Somewhat unimportant,Somewhat important,Very important,Very important,Very important,Very important,Neither important nor unimportant,Very unimportant,Somewhat important,Completely agree,Completely agree,24,24,Very rarely,0,NA,30,0,Important,Very unimportant,I don't know,Male,Lecturer / Assistant Professor / Research Fellow,2002,Research intensive,Linguistics,NA,Europe & Central Asia,Social Sciences
95,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,I don't know,Agree,Agree,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Neither agree nor disagree,Agree,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither agree nor disagree,Agree,12,9,Often,5,3,10,5,Important,Neither important nor unimportant,Neither important nor unimportant,Male,Senior Lecturer / Associate Professor  / Senior Researcher,1985,Research intensive,History,NA,Europe & Central Asia,Arts & Humanities
96,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,No,Completely agree,Completely agree,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Somewhat important,Very important,Agree,Completely agree,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Agree,Completely agree,15,14,Neither often nor rarely,1,1,30,5,Important,Important,I don't know,Male,Professor,1988,Research intensive,Materials Science,NA,Europe & Central Asia,Technology
98,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,No,Completely agree,Completely agree,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Disagree,Disagree,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat unimportant,Very important,Somewhat unimportant,Very important,Very important,Very important,Very important,Very important,Neither important nor unimportant,Neither important nor unimportant,Very important,Completely agree,Completely agree,70,63,Very rarely,50,50,100,0,Important,Important,Very unimportant,Male,Professor,1992,Research intensive,Health,NA,Europe & Central Asia,Life Sciences & Biomedicine
99,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Not applicable,Completely agree,Completely agree,Somewhat important,Somewhat important,Very important,Somewhat unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat unimportant,Neither important nor unimportant,Very important,Very important,Very important,Very important,Very important,Very important,Neither important nor unimportant,Somewhat important,Neither agree nor disagree,Completely agree,Somewhat important,Somewhat important,Very important,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Completely disagree,Agree,50,15,Neither often nor rarely,6,0,60,2,Important,Important,Important,Male,Professor,1991,Both research and teaching intensive,Computer Science,NA,Europe & Central Asia,Technology
101,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,No,Agree,Completely agree,Very important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Not applicable,Very unimportant,Somewhat important,Not applicable,Not applicable,Somewhat important,Somewhat unimportant,Neither important nor unimportant,Neither important nor unimportant,Very important,Very important,Neither important nor unimportant,Very important,Agree,Agree,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Very unimportant,Somewhat important,Somewhat important,Not applicable,Somewhat important,Somewhat important,Not applicable,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Very unimportant,Somewhat important,Neither agree nor disagree,Completely agree,3,2,Often,2,0,4,0,Important,Neither important nor unimportant,Neither important nor unimportant,Male,Senior Lecturer / Associate Professor  / Senior Researcher,2005,Research intensive,Life Sciences,NA,Europe & Central Asia,Life Sciences & Biomedicine
102,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,No,Neither agree nor disagree,Agree,Somewhat important,Very important,Very important,Very important,Very unimportant,Very unimportant,Very unimportant,Very unimportant,Somewhat important,Somewhat important,Somewhat unimportant,Somewhat important,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Very important,Very important,Very important,Very important,Disagree,Disagree,Somewhat important,Neither important nor unimportant,Somewhat important,Very important,Very unimportant,Very unimportant,Very unimportant,Somewhat unimportant,Somewhat important,Somewhat important,Very unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Completely disagree,Completely disagree,8,8,Very often,0,NA,20,0,Neither important nor unimportant,Unimportant,Unimportant,Male,Senior Lecturer / Associate Professor  / Senior Researcher,2004,Both research and teaching intensive,Mathematics,NA,Europe & Central Asia,Physical Sciences
104,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,No,Agree,Agree,Very important,Neither important nor unimportant,Somewhat important,Somewhat important,Very unimportant,Very unimportant,Very unimportant,Neither important nor unimportant,Neither important nor unimportant,Very unimportant,Neither important nor unimportant,Very unimportant,Very unimportant,Very unimportant,Very unimportant,Very important,Neither important nor unimportant,Very unimportant,Neither important nor unimportant,Completely agree,Completely agree,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Very important,Very important,Very important,Somewhat important,Somewhat unimportant,Neither important nor unimportant,Very unimportant,Neither important nor unimportant,Very important,Very important,Neither important nor unimportant,Somewhat important,Completely disagree,Completely disagree,7,0,Very often,0,NA,30,0,Very important,Important,Neither important nor unimportant,Male,Senior Lecturer / Associate Professor  / Senior Researcher,2002,Teaching intensive,Computer Science,NA,Europe & Central Asia,Technology
106,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,I don't know,Disagree,Disagree,Very important,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat unimportant,Not applicable,Not applicable,Not applicable,Not applicable,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Neither agree nor disagree,Not applicable,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Not applicable,Not applicable,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Completely disagree,Completely agree,4,2,Rarely,2,0,7,0,Very important,Very important,Very important,Female,Professor,2012,Teaching intensive,Health,NA,South Asia,Life Sciences & Biomedicine
107,8,Yes,Yes,Yes,Yes,Yes,No,No,NA,No,Agree,Agree,Very important,Very important,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Somewhat unimportant,Somewhat unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat unimportant,Somewhat important,Neither important nor unimportant,Somewhat important,Very important,Neither important nor unimportant,Very important,Somewhat important,Very important,I don't know,Agree,Neither important nor unimportant,Very important,Very important,Very important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Neither agree nor disagree,Neither agree nor disagree,30,15,Does not apply,3,3,20,3,Very important,Very important,Neither important nor unimportant,Male,Professor,1985,Both research and teaching intensive,Agriculture,NA,Europe & Central Asia,Life Sciences & Biomedicine
108,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Not applicable,Completely agree,Completely agree,Somewhat unimportant,Somewhat important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Agree,Completely agree,Neither important nor unimportant,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Completely agree,Completely agree,250,250,Very rarely,2,2,20,5,Neither important nor unimportant,Important,Important,Male,Professor,1984,Both research and teaching intensive,Physics,NA,Europe & Central Asia,Physical Sciences
109,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Yes,Agree,Agree,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not applicable,Neither important nor unimportant,Not applicable,Not applicable,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Neither important nor unimportant,Somewhat important,I don't know,Agree,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Completely agree,Completely agree,3,3,Often,0,NA,5,5,Neither important nor unimportant,Not applicable,Important,Female,Professor,2006,Both research and teaching intensive,Physics,NA,Europe & Central Asia,Physical Sciences
111,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Yes,Completely agree,Completely agree,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Completely agree,Completely agree,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Somewhat important,Very important,Very important,Very important,Neither important nor unimportant,Neither important nor unimportant,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Completely agree,Completely agree,20,15,Rarely,1,1,30,15,Very important,Very unimportant,Very important,Male,Professor,2005,Both research and teaching intensive,Environmental Science,NA,Europe & Central Asia,Life Sciences & Biomedicine
114,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Yes,Completely agree,Agree,Neither important nor unimportant,Somewhat important,Very important,Very important,Very important,Somewhat important,Not applicable,Somewhat important,Not applicable,Not applicable,Somewhat important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Somewhat unimportant,Somewhat important,Very important,Somewhat important,Very important,Neither agree nor disagree,Completely agree,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Not applicable,Somewhat important,Not applicable,Not applicable,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Neither agree nor disagree,Completely agree,9,9,Often,1,0,15,0,Important,Not applicable,Not applicable,Female,Senior Lecturer / Associate Professor  / Senior Researcher,2000,Both research and teaching intensive,Archeology,NA,Europe & Central Asia,Social Sciences
115,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Yes,Completely agree,Agree,Somewhat important,Somewhat important,Very important,Somewhat important,Neither important nor unimportant,Somewhat unimportant,Very unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat unimportant,Somewhat unimportant,Somewhat important,Somewhat unimportant,Neither important nor unimportant,Somewhat important,Very important,Very important,Neither important nor unimportant,Somewhat important,Agree,Agree,Somewhat important,Somewhat important,Very important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Not applicable,Very unimportant,Somewhat important,Somewhat unimportant,Very unimportant,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Very important,Somewhat important,Somewhat important,Somewhat unimportant,Somewhat important,Agree,Neither agree nor disagree,20,5,Rarely,100,0,60,0,Unimportant,Very important,Unimportant,Male,Senior Lecturer / Associate Professor  / Senior Researcher,1994,Both research and teaching intensive,Materials Science,NA,Europe & Central Asia,Technology
119,8,Yes,Yes,Yes,Yes,Yes,No,I don't know,NA,No,Agree,Disagree,Neither important nor unimportant,Somewhat important,Very important,Very important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Somewhat important,Somewhat important,Agree,Completely agree,Neither important nor unimportant,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Agree,Completely agree,12,12,Neither often nor rarely,6,6,50,0,Neither important nor unimportant,Neither important nor unimportant,Important,Male,Professor,1989,Research intensive,Computer Science,NA,Europe & Central Asia,Technology
122,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,No,Completely agree,Completely agree,Very important,Somewhat important,Very important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Somewhat important,Very important,Neither important nor unimportant,Very important,Neither important nor unimportant,Neither important nor unimportant,Very unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Disagree,Disagree,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Disagree,Disagree,100,2,Rarely,0,NA,35,20,Unimportant,Neither important nor unimportant,Very unimportant,Male,Professor,1992,Other,Chemistry,NA,Middle East & North Africa,Physical Sciences
123,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Yes,Completely agree,Completely agree,Somewhat important,Somewhat unimportant,Neither important nor unimportant,Somewhat unimportant,Neither important nor unimportant,Very unimportant,Somewhat unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Completely agree,Completely agree,Somewhat unimportant,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Very unimportant,Somewhat unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat unimportant,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Neither important nor unimportant,Somewhat important,Completely disagree,Completely disagree,15,12,Often,0,NA,20,0,Important,Neither important nor unimportant,Important,Male,Senior Lecturer / Associate Professor  / Senior Researcher,2003,Research intensive,Philosophy,NA,Europe & Central Asia,Arts & Humanities
124,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Yes,Completely agree,Completely agree,Very important,Neither important nor unimportant,Very important,Very important,Neither important nor unimportant,Neither important nor unimportant,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Neither important nor unimportant,Neither important nor unimportant,Very important,Very important,Very important,Completely agree,Agree,Very important,Neither important nor unimportant,Very important,Very important,Somewhat important,Neither important nor unimportant,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat unimportant,Somewhat important,Very important,Very important,Very important,Agree,Agree,15,5,Often,20,15,11,8,Neither important nor unimportant,Very important,Very important,Male,Doctoral researcher,2015,Both research and teaching intensive,Health,NA,Sub-Saharan Africa,Life Sciences & Biomedicine
125,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,No,Completely agree,Completely agree,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Very important,Somewhat important,Very important,Very important,Completely agree,Completely agree,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Neither important nor unimportant,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Very important,Somewhat important,Very important,Very important,Neither agree nor disagree,Neither agree nor disagree,30,6,Neither often nor rarely,0,NA,25,5,Neither important nor unimportant,Important,Neither important nor unimportant,Male,Professor,1991,Both research and teaching intensive,Physics,NA,East Asia & Pacific,Physical Sciences
126,8,Yes,Yes,Yes,Yes,Yes,No,No,NA,Yes,I don't know,I don't know,Somewhat unimportant,Neither important nor unimportant,Somewhat important,Somewhat unimportant,Very unimportant,I don't know,Not applicable,Very unimportant,Very important,Very important,I don't know,I don't know,I don't know,Somewhat important,Very important,Not applicable,Not applicable,Somewhat important,Very important,Completely disagree,Neither agree nor disagree,Very important,Somewhat important,Very important,Neither important nor unimportant,Neither important nor unimportant,Very important,Not applicable,Very important,Very important,Neither important nor unimportant,I don't know,Somewhat important,Somewhat important,Neither important nor unimportant,Very important,Very important,Very important,Somewhat important,Somewhat important,Completely disagree,Completely disagree,0,NA,I don't know,0,NA,0,NA,I don't know,Very important,I don't know,Male,Doctoral researcher,2013,Other,Engineering,NA,Europe & Central Asia,Technology
128,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,No,Agree,Agree,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Very important,Very important,Somewhat important,Neither important nor unimportant,Completely agree,Completely agree,Very important,Very important,Somewhat important,Somewhat important,Somewhat unimportant,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat unimportant,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat unimportant,Very important,Very important,Neither important nor unimportant,Somewhat important,Agree,Agree,36,25,Rarely,30,2,150,2,Neither important nor unimportant,Neither important nor unimportant,Unimportant,Male,Professor,1987,Both research and teaching intensive,Chemistry,NA,Europe & Central Asia,Physical Sciences
134,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Yes,Agree,Agree,Very important,Very important,Somewhat important,Somewhat important,Somewhat unimportant,Very unimportant,Very unimportant,Very unimportant,Very unimportant,Somewhat important,Very unimportant,Somewhat important,Very unimportant,Somewhat important,Very unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Completely disagree,Neither agree nor disagree,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,I don't know,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,I don't know,Completely agree,9,4,Very often,0,NA,100,2,I don't know,Important,Very unimportant,Female,Lecturer / Assistant Professor / Research Fellow,1993,Both research and teaching intensive,Life Sciences,NA,Europe & Central Asia,Life Sciences & Biomedicine
135,8,Yes,Yes,Yes,Yes,Yes,No,I don't know,NA,Yes,Completely disagree,Neither agree nor disagree,Very important,Very important,Very important,Very important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat unimportant,Somewhat unimportant,Neither important nor unimportant,I don't know,Very unimportant,Very unimportant,I don't know,I don't know,Very unimportant,I don't know,I don't know,Very unimportant,I don't know,I don't know,Very important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Very important,Somewhat important,Very important,Very important,Very important,Neither important nor unimportant,Very important,Agree,Agree,10,7,Neither often nor rarely,0,NA,10,0,Neither important nor unimportant,Important,Neither important nor unimportant,Male,Lecturer / Assistant Professor / Research Fellow,2006,Teaching intensive,Engineering,NA,East Asia & Pacific,Technology
136,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Yes,Completely agree,Completely agree,Very unimportant,Very unimportant,Somewhat important,Neither important nor unimportant,Somewhat unimportant,Very unimportant,Very unimportant,Neither important nor unimportant,Somewhat unimportant,Somewhat unimportant,Somewhat unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not applicable,Very unimportant,Neither important nor unimportant,Somewhat important,Neither agree nor disagree,Agree,Somewhat unimportant,Somewhat unimportant,Somewhat important,Somewhat unimportant,Somewhat unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Very important,Somewhat important,Neither important nor unimportant,Very unimportant,Somewhat unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither agree nor disagree,Completely agree,3,1,Does not apply,5,0,20,3,Very unimportant,Unimportant,Unimportant,Female,Professor,2001,Teaching intensive,Biology,NA,North America,Life Sciences & Biomedicine
138,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Yes,Agree,Disagree,Very important,Very important,Very important,Very important,I don't know,I don't know,I don't know,Somewhat important,I don't know,I don't know,I don't know,Somewhat important,Very unimportant,Somewhat unimportant,Very unimportant,Somewhat important,Very important,I don't know,Very important,Completely disagree,Completely disagree,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very unimportant,Very unimportant,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Neither important nor unimportant,Somewhat important,Somewhat important,Completely agree,Completely agree,6,2,Rarely,0,NA,6,0,Very important,Very unimportant,Important,Female,Senior Lecturer / Associate Professor  / Senior Researcher,1995,Research intensive,Other,Health sciences which is very different from medicine,North America,Life Sciences & Biomedicine
